,NAME,AGE,RATING,WAGE,POTENTIAL,VALUE,TOTAL
16404,G. Carvajal,17,57,$1K,77,$202K,1446
16405,N. Kirby,17,57,$4K,79,$258K,1475
16406,C. Akono,17,57,$1K,75,$235K,1482
16407,H. Yılmaz,19,57,$2K,70,$213K,1541
16408,E. Moreno,23,57,$1K,63,$157K,1536
16409,E. Sousa,22,57,$2K,65,$168K,1511
16410,R. Hanlı,20,57,$2K,68,$179K,1427
16411,R. Gondoh,20,57,$2K,65,$168K,1601
16412,J. Senior,20,57,$2K,64,$134K,1429
16413,G. Shanahan,24,57,$1K,60,$146K,1524
16414,B. Brusselers,18,57,$1K,70,$213K,1436
16415,C. Hall,19,57,$4K,72,$246K,1448
16416,F. Due,24,57,$1K,63,$112K,983
16417,B. Tozer,27,57,$2K,57,$101K,1591
16418,C. Georges,23,57,$1K,63,$157K,1380
16419,A. Medina,19,57,$2K,71,$246K,1495
16420,G. Banaziak,20,57,$2K,69,$168K,867
16421,D. Loader,16,57,$2K,82,$258K,1423
16422,D. Loader,16,57,$2K,82,$258K,1423
16423,J. Marcinkowski,20,57,$1K,71,$213K,960
16424,N. Ortiz,22,57,$2K,64,$134K,1280
16425,N. Das,23,57,$0,64,$0,1422
16426,M. Real,17,57,$1K,76,$202K,1476
16427,M. Maier,21,57,$1K,68,$202K,1462
16428,S. Kumagai,20,57,$1K,68,$202K,1508
16429,M. Nicoletti,18,57,$1K,69,$168K,1435
16430,A. Kabashi,20,57,$1K,63,$168K,1506
16431,K. Akca,23,57,$4K,64,$157K,1557
16432,G. Edmundson,19,57,$1K,69,$179K,1338
16433,M. Blauensteiner,22,57,$3K,64,$134K,1508
16434,D. Glebov,17,57,$2K,73,$235K,1580
16435,Carlos Gracia,24,57,$1K,63,$134K,1396
16436,F. Godoy,17,57,$1K,80,$235K,1334
16437,S. Al Ghamdi,25,57,$2K,61,$112K,1026
16438,M. Rosenzweig,21,57,$1K,63,$134K,1391
16439,J. Lichtenauer,18,57,$1K,73,$190K,909
16440,K. Stępniowski,24,57,$1K,61,$112K,1061
16441,L. Marseiler,20,57,$1K,67,$190K,1430
16442,A. Maric,20,57,$7K,70,$224K,1526
16443,M. Krol,19,57,$1K,69,$202K,1453
16444,L. Burgess,18,57,$1K,75,$235K,1480
16445,D. Restrepo,24,57,$1K,62,$134K,1607
16446,M. Ochieng,20,57,$1K,65,$146K,1481
16447,U. Bapoh,18,57,$2K,77,$235K,1477
16448,O. Al Khalaf,20,57,$2K,70,$202K,1557
16449,V. Kusej,17,57,$2K,77,$235K,1433
16450,Y. Al Shammari,19,57,$2K,72,$246K,1422
16451,R. Berişbek,18,57,$2K,73,$235K,1513
16452,F. Sollacaro,23,57,$1K,64,$123K,937
16453,K. Mori,20,57,$1K,71,$258K,1462
16454,O. Mbaizo,19,57,$1K,68,$168K,1537
16455,César Gelabert,16,57,$6K,82,$258K,1447
16456,K. McAllister,18,57,$5K,76,$235K,1434
16457,P. Halder,24,57,$0,65,$0,1510
16458,D. Jørgensen,26,57,$2K,60,$123K,1207
16459,S. Sidler,18,57,$1K,70,$179K,1482
16460,M. Mitrović,25,57,$2K,62,$157K,1467
16461,M. Oxborrow,22,57,$1K,63,$157K,1615
16462,J. Hatlehol,20,57,$1K,64,$134K,1582
16463,M. Afaker,18,57,$1K,73,$246K,1368
16464,O. Shannon,21,57,$1K,68,$202K,1394
16465,A. Mitchell,21,57,$0,67,$0,1372
16466,K. Knoyle,20,57,$2K,68,$179K,1444
16467,E. Bird,24,57,$1K,62,$157K,1537
16468,D. Johnson,18,57,$4K,75,$213K,1469
16469,S. Tanabe,27,57,$2K,57,$101K,1671
16470,M. Sagnan,18,57,$1K,75,$213K,1357
16471,A. Tataev,18,57,$3K,73,$213K,1277
16472,A. Guliev,21,57,$4K,66,$179K,1366
16473,A. Guliev,21,57,$4K,66,$179K,1366
16474,D. Tomić,19,57,$1K,70,$213K,1393
16475,D. Gorman,21,57,$2K,66,$179K,1652
16476,J. Sullivan,26,57,$1K,59,$112K,1470
16477,T. Campbell,20,57,$8K,71,$258K,1484
16478,M. Fisch,24,57,$1K,64,$134K,1298
16479,R. Novaković,17,57,$1K,72,$190K,857
16480,J. Vall,24,57,$1K,60,$123K,1654
16481,N. Araya,18,57,$1K,69,$146K,959
16482,Jin Dae Seong,27,57,$1K,57,$123K,1363
16483,M. Kryczka,24,57,$1K,61,$112K,840
16484,O. Ottesen,18,57,$1K,67,$134K,911
16485,R. Porteous,18,57,$1K,75,$213K,1294
16486,Douglas,24,57,$2K,62,$157K,1300
16487,S. Elliott,33,57,$1K,57,$78K,1449
16488,J. Ibáñez,21,57,$2K,67,$190K,1549
16489,S. Vernon,33,57,$3K,57,$78K,1503
16490,M. Thrane,23,57,$2K,63,$157K,1528
16491,M. Urynowicz,21,57,$1K,64,$168K,1362
16492,S. Dahlström,20,57,$1K,67,$190K,1535
16493,N. Tenaglia,21,57,$2K,62,$134K,1400
16494,D. Zuev,20,57,$2K,64,$146K,1509
16495,A. Berezin,24,57,$3K,63,$112K,1035
16496,L. Lauberbach,19,57,$1K,66,$179K,1448
16497,D. Rasak,21,57,$1K,66,$157K,1539
16498,J. Hodek,19,57,$1K,69,$179K,1488
16499,K. Kaplenko,18,57,$4K,74,$213K,1474
16500,W. Ponce,19,57,$1K,73,$246K,1364
16501,L. Lappalainen,18,57,$1K,67,$179K,1395
16502,C. Mosquera,22,57,$1K,63,$112K,834
16503,I. Lara,21,57,$1K,63,$157K,1469
16504,M. Okazaki,18,57,$1K,74,$213K,1331
16505,S. Sasaki,27,57,$2K,57,$101K,1455
16506,M. Juárez,20,57,$2K,66,$157K,1508
16507,R. Hirosue,18,57,$1K,72,$190K,913
16508,M. Ranmark,21,57,$1K,65,$134K,891
16509,M. Kitching,21,57,$1K,66,$157K,1421
16510,D. Lyon,22,57,$1K,67,$157K,1537
16511,S. Custers,17,57,$1K,72,$190K,847
16512,F. Cosciuc,19,57,$1K,73,$224K,1322
16513,A. Santos,22,57,$2K,63,$157K,1504
16514,J. Pantemis,20,57,$1K,67,$146K,886
16515,C. Yüksel,19,57,$4K,66,$168K,1550
16516,R. Pyke,19,57,$5K,70,$224K,1361
16517,E. Boyle,20,57,$1K,69,$179K,1504
16518,H. Smolders,19,57,$1K,68,$168K,1251
16519,R. van Eijma,19,57,$1K,70,$190K,1340
16520,G. Verón,16,57,$1K,77,$235K,1375
16521,I. Karakaş,18,57,$2K,70,$213K,1399
16522,P. Gluhakovic,21,57,$3K,68,$179K,1573
16523,E. List,20,57,$1K,63,$157K,1467
16524,E. List,20,57,$1K,63,$157K,1467
16525,R. Cagnon,20,57,$2K,70,$179K,858
16526,M. Willock,17,57,$1K,69,$157K,1273
16527,Chen Binbin,19,57,$0,70,$0,1432
16528,C. Day,41,57,$1K,57,$11K,825
16529,G. Kharaishvili,20,57,$1K,71,$258K,1469
16530,N. Amamoo,19,57,$1K,72,$246K,1495
16531,L. Bilboe,19,57,$1K,68,$146K,870
16532,C. Velásquez,19,57,$1K,72,$246K,1486
16533,Y. Horigome,24,57,$1K,59,$146K,1490
16534,G. Fuentes,20,57,$1K,66,$157K,1466
16535,O. Ashoor,27,57,$3K,57,$101K,1433
16536,N. Leemhuis,19,57,$1K,65,$168K,1555
16537,M. Díaz,27,57,$2K,60,$101K,829
16538,C. Whelan,19,57,$1K,69,$179K,1457
16539,J. Tamimi,22,57,$1K,66,$157K,1527
16540,J. Lunney,19,57,$1K,70,$213K,1609
16541,M. Raguž,19,57,$2K,73,$246K,1351
16542,P. Brough,21,57,$1K,62,$134K,1546
16543,J. Bachmann,21,57,$1K,62,$134K,1237
16544,A. Irving,17,57,$1K,79,$246K,1555
16545,A. Hartigan,17,57,$1K,77,$224K,1578
16546,M. Al Shahrani,21,57,$4K,67,$168K,1539
16547,M. Stevens,19,57,$1K,70,$224K,1387
16548,B. Sielewski,32,57,$1K,57,$67K,1443
16549,Y. Khormi,19,57,$3K,70,$213K,1495
16550,A. Talal,21,57,$1K,67,$168K,1562
16551,M. Damsgaard,16,57,$1K,76,$235K,1505
16552,M. Payares,22,57,$1K,67,$168K,1240
16553,J. Debayo,20,57,$6K,66,$157K,1441
16554,T. Allemand,18,57,$1K,72,$213K,1212
16555,I. Madi,19,57,$1K,67,$179K,1470
16556,Wanderson,22,57,$1K,61,$146K,1551
16557,F. Dietz,18,57,$1K,74,$246K,1298
16558,A. Bass,19,57,$1K,70,$179K,1134
16559,N. Al Anazi,28,57,$2K,57,$78K,842
16560,A. Santopadre,18,57,$1K,73,$190K,839
16561,E. Ebosse,18,57,$1K,72,$213K,1400
16562,F. Ortega,18,57,$2K,74,$235K,1419
16563,T. Hadler,20,57,$1K,65,$134K,1019
16564,E. Tatarinov,18,57,$3K,64,$157K,1374
16565,D. Lavercombe,20,57,$1K,67,$146K,876
16566,S. Osorio,20,57,$1K,71,$258K,1463
16567,J. Wind,18,57,$2K,74,$246K,1333
16568,R. Donelon,21,57,$1K,68,$179K,1485
16569,J. Scherzer,21,57,$1K,62,$134K,1431
16570,T. Vancooten,19,57,$1K,72,$224K,1389
16571,R. Suzuki,23,57,$1K,63,$112K,933
16572,B. Olszewski,21,57,$1K,65,$146K,1455
16573,R. Cretaro,35,57,$1K,57,$56K,1531
16574,D. Telford,20,57,$8K,69,$213K,1381
16575,D. Telford,20,57,$8K,69,$213K,1381
16576,A. Civet,20,57,$1K,69,$179K,1288
16577,M. Treppo,21,57,$2K,65,$168K,1426
16578,M. Janssens,19,57,$1K,68,$146K,989
16579,K. Petratos,19,57,$1K,71,$246K,1461
16580,J. Cotterill,18,57,$1K,72,$213K,1282
16581,L. Moore,19,57,$1K,75,$246K,1376
16582,F. Buntić,20,57,$2K,71,$213K,811
16583,S. Mullings,23,57,$3K,64,$168K,1326
16584,H. Balic,21,57,$2K,61,$157K,1417
16585,André Luis Neitzke,30,57,$3K,57,$90K,1232
16586,J. van der Werff,18,57,$1K,73,$213K,1330
16587,S. Icardi,20,57,$1K,66,$157K,1466
16588,Y. Ito,24,57,$1K,61,$146K,1613
16589,B. Mugabi,22,57,$1K,65,$146K,1401
16590,M. Al Mutlaq,19,57,$3K,71,$224K,1510
16591,C. Scott,19,57,$7K,73,$224K,1412
16592,J. Eastwood,20,57,$3K,65,$134K,993
16593,G. Marcussen,19,57,$1K,76,$246K,1501
16594,M. Thalhammer,19,57,$2K,71,$246K,1457
16595,S. Grønning,20,57,$2K,67,$190K,1376
16596,N. Awuku,17,57,$1K,76,$235K,1358
16597,M. Timlin,22,57,$1K,66,$179K,1576
16598,N. Sakai,24,57,$1K,60,$123K,1559
16599,D. Stückler,20,57,$2K,69,$213K,1390
16600,N. Giménez,21,57,$2K,67,$190K,1634
16601,J. Meneses,33,57,$1K,57,$56K,870
16602,M. Wilks,18,57,$4K,77,$246K,1401
16603,A. Maccoppi,30,57,$2K,57,$90K,1490
16604,D. Petravičius,21,57,$1K,63,$157K,1512
16605,J. Kay,20,57,$2K,67,$190K,1517
16606,A. Fletcher,18,57,$1K,72,$246K,1461
16607,K. Bennetts,18,57,$6K,75,$235K,1563
16608,A. Elyounoussi,18,57,$1K,71,$235K,1476
16609,B. Spencer,22,57,$1K,63,$157K,1343
16610,M. Najjar,22,57,$2K,66,$179K,1579
16611,O. Kolak,20,57,$2K,69,$179K,1324
16612,E. Zehir,19,57,$1K,68,$168K,1497
16613,R. Öktem,20,57,$2K,69,$202K,1578
16614,G. Sava,31,57,$1K,57,$67K,1064
16615,V. Vujinovic,18,57,$1K,74,$246K,1359
16616,L. Kramer,17,57,$1K,73,$202K,1307
16617,Z. Westbrooke,20,57,$5K,71,$258K,1509
16618,D. Desprez,18,57,$1K,72,$190K,878
16619,D. Srnić,25,57,$1K,60,$123K,1531
16620,K. Pagliuca,20,57,$2K,71,$258K,1285
16621,M. Köbbing,20,57,$2K,70,$179K,910
16622,A. Al Khaibari,20,57,$4K,67,$168K,1513
16623,E. Ghan,22,57,$2K,64,$157K,1535
16624,J. Díaz,18,57,$4K,72,$213K,1367
16625,R. Cole,19,57,$4K,72,$246K,1623
16626,R. Cole,19,57,$4K,72,$246K,1623
16627,N. Giraldo,24,57,$1K,60,$146K,1556
16628,O. Zanzala,20,57,$7K,70,$224K,1409
16629,S. Diarra,18,57,$2K,66,$168K,1478
16630,D. Casey,19,57,$1K,69,$179K,1331
16631,M. Quiñones,21,57,$1K,62,$134K,1458
16632,H. Halawani,21,57,$5K,67,$190K,1410
16633,E. Aponzá,23,57,$1K,63,$157K,1393
16634,A. Parkhouse,24,57,$1K,60,$146K,1577
16635,B. Liddle,18,57,$2K,70,$202K,1538
16636,C. Oliver,19,57,$1K,69,$179K,1330
16637,M. Kelly,19,57,$1K,66,$146K,1526
16638,H. Arellano,19,57,$1K,69,$179K,1445
16639,N. Bürgy,21,57,$2K,69,$179K,1286
16640,R. Correa,17,57,$1K,77,$235K,1367
16641,A. Azbague,22,57,$1K,67,$190K,1370
16642,J. Lelan,22,57,$1K,65,$146K,1398
16643,U. Fredriksen,18,57,$1K,71,$213K,1329
16644,M. Stingl,19,57,$1K,68,$168K,1432
16645,L. Fomba,19,57,$1K,71,$224K,1466
16646,J. Adelson,21,57,$1K,68,$179K,1409
16647,C. Brown,25,57,$1K,62,$112K,996
16648,D. Emmanoulidis,16,57,$1K,77,$235K,1371
16649,M. Lansing,23,57,$2K,66,$134K,1094
16650,F. Pardo,20,57,$2K,68,$179K,1337
16651,R. Holden,19,57,$4K,73,$246K,1433
16652,E. Kalsaas,16,57,$1K,69,$157K,1422
16653,P. Millien,31,57,$1K,57,$101K,1432
16654,Z. Faour,19,57,$1K,74,$246K,1426
16655,S. Sessegnon,17,57,$3K,77,$202K,1455
16656,D. Minz,18,57,$4K,68,$157K,1287
16657,T. Iida,22,57,$1K,64,$134K,1439
16658,Y. Salah,19,57,$1K,68,$190K,1375
16659,Lee In Kyu,24,57,$1K,62,$134K,1515
16660,J. Monroy,21,57,$2K,68,$179K,1430
16661,J. Pérez,17,57,$2K,75,$235K,1353
16662,A. Pearce,20,57,$1K,71,$213K,1018
16663,A. Madiani,21,57,$1K,64,$168K,1465
16664,J. Hardy,18,57,$4K,76,$246K,1321
16665,R. González,23,57,$2K,64,$157K,1555
16666,S. Al Nabit,21,57,$3K,67,$190K,1419
16667,S. Ohlsson,24,57,$1K,60,$146K,1423
16668,A. Samizadeh,18,57,$1K,74,$246K,1478
16669,O. Mulders,18,57,$2K,71,$213K,1524
16670,K. Denkey,16,57,$1K,74,$235K,1339
16671,L. Bezzat,20,57,$2K,68,$202K,1423
16672,Y. Sunbul,19,57,$3K,71,$246K,1401
16673,A. Eldeen,24,57,$3K,59,$123K,1368
16674,A. Ba Masoud,21,57,$4K,68,$179K,1510
16675,B. Taz,18,57,$3K,77,$235K,1375
16676,K. Al Shuwayie,21,57,$4K,68,$179K,1429
16677,K. Al Shuwayie,21,57,$4K,68,$179K,1429
16678,H. Yılmaz,18,57,$2K,70,$202K,1569
16679,R. Nzeza,18,57,$1K,73,$213K,1276
16680,C. O'Toole,19,57,$1K,67,$157K,1388
16681,E. Sivertsen,26,57,$1K,58,$112K,1402
16682,J. Skomsøy Bjerkås,24,57,$1K,62,$134K,1437
16683,G. Berggren,19,57,$1K,65,$168K,1571
16684,M. Yamada,22,57,$2K,65,$146K,1384
16685,L. Matarrese,20,57,$1K,66,$157K,1292
16686,C. Mafoumbi,23,57,$1K,61,$112K,1055
16687,N. Marfelt,22,57,$2K,64,$134K,1496
16688,A. Al Basisi,39,57,$2K,57,$11K,1049
16689,P. Borisov,19,57,$2K,70,$190K,1439
16690,R. Al Mousa,22,57,$5K,66,$179K,1538
16691,I. Al Shehri,21,57,$5K,67,$190K,1481
16692,J. Doherty,21,57,$1K,68,$179K,1465
16693,L. Andrenacci,22,57,$1K,67,$146K,1015
16694,C. Rowan,19,57,$1K,70,$190K,1396
16695,D. Vambolt,22,57,$2K,64,$123K,921
16696,C. Ainley,19,57,$2K,74,$246K,1452
16697,S. Akinola,24,57,$2K,62,$157K,1470
16698,A. Al Riou,23,57,$5K,63,$134K,1410
16699,I. Bah,18,57,$2K,70,$213K,1411
16700,C. Hendry,19,57,$1K,74,$246K,1357
16701,F. Ahumada,21,57,$1K,67,$190K,1386
16702,K. Sterling,18,57,$7K,75,$246K,1364
16703,D. Zanatta,20,57,$1K,72,$258K,1402
16704,E. Twumasi,20,57,$1K,67,$190K,1405
16705,T. Conlon,21,57,$2K,67,$190K,1624
16706,G. Vicario,20,57,$1K,70,$179K,855
16707,J. Soto,22,57,$1K,64,$134K,1473
16708,V. Karakuş,19,57,$1K,67,$134K,896
16709,N. Al Shenashini,21,57,$5K,68,$202K,1423
16710,Doo Hyun Seok,21,57,$1K,65,$179K,1408
16711,M. Rayman,21,57,$4K,67,$157K,1415
16712,A. Andreasson,23,57,$1K,62,$157K,1569
16713,K. Al Muwallad,22,57,$3K,66,$179K,1488
16714,M. Sato,26,57,$1K,57,$123K,1427
16715,R. Etheridge,22,57,$1K,66,$134K,1044
16716,D. Kovačić,23,57,$1K,63,$134K,1236
16717,F. Chenkam,18,57,$1K,71,$246K,1395
16718,M. Nilsson,23,57,$1K,65,$123K,949
16719,R. Jendrusch,21,57,$1K,67,$146K,895
16720,J. Vom Steeg,20,57,$1K,70,$179K,821
16721,E. Palacios,20,57,$1K,66,$157K,1525
16722,Dudu,21,57,$2K,65,$179K,1483
16723,M. Jackson,26,57,$2K,58,$134K,1504
16724,N. Herranz,23,57,$1K,65,$146K,1312
16725,K. Wootton,20,57,$2K,64,$168K,1325
16726,U. Türker,19,57,$1K,72,$246K,1554
16727,D. López,17,57,$2K,69,$190K,1337
16728,D. López,17,57,$2K,69,$190K,1337
16729,D. Margush,19,57,$1K,71,$202K,852
16730,S. Haugen,19,57,$1K,70,$224K,1363
16731,I. Shinozuka,22,57,$1K,63,$157K,1435
16732,A. Yarmolitskiy,23,57,$3K,64,$134K,1432
16733,T. Akahoshi,33,57,$1K,57,$56K,852
16734,A. Ahmedhodzic,18,57,$2K,71,$213K,1198
16735,J. Celestine,19,57,$1K,68,$168K,1213
16736,I. Boye,20,57,$1K,66,$179K,1325
16737,Ko Jae Hyun,18,57,$1K,72,$235K,1374
16738,A. Rizzo,18,57,$1K,76,$235K,1495
16739,J. Hooper,23,57,$2K,62,$157K,1438
16740,K. Al Qattam,21,57,$2K,66,$179K,1409
16741,B. Ashley-Seal,18,57,$5K,75,$246K,1367
16742,L. Steinfeldt,20,57,$1K,64,$168K,1352
16743,S. Mourgos,19,57,$3K,73,$246K,1567
16744,S. Ben Amar,19,57,$1K,69,$202K,1365
16745,S. Mbingui,25,57,$1K,60,$146K,1474
16746,L. Scherff,20,57,$1K,69,$213K,1538
16747,I. Turner,28,57,$1K,57,$112K,1591
16748,H. Smith,22,57,$5K,65,$168K,1353
16749,L. Perrin,18,57,$2K,72,$213K,1341
16750,R. Kurisawa,34,57,$2K,57,$34K,1342
16751,A. Mohammad,20,57,$2K,70,$224K,1407
16752,M. Zemzemi,17,57,$2K,76,$235K,1448
16753,S. Adrian,19,57,$1K,69,$202K,1525
16754,I. Diarra,19,57,$4K,72,$246K,1372
16755,D. Lemus,20,57,$1K,70,$202K,1353
16756,J. O'Hanlon,21,57,$1K,65,$179K,1384
16757,R. Kim,20,57,$1K,67,$146K,864
16758,D. Mitov,20,56,$2K,63,$101K,1114
16759,T. Ominami,19,56,$1K,72,$202K,1291
16760,M. Galé,21,56,$1K,64,$134K,1468
16761,R. Hall-Johnson,22,56,$2K,63,$123K,1533
16762,M. Pałaszewski,19,56,$1K,67,$168K,1543
16763,J. Maddison,22,56,$1K,63,$101K,981
16764,M. Haarup,21,56,$1K,67,$157K,1435
16765,S. Pabón,21,56,$1K,64,$112K,851
16766,S. Brennan,31,56,$1K,56,$90K,1552
16767,T. Heward-Belle,20,56,$1K,69,$157K,828
16768,J. Simonsen,21,56,$2K,67,$157K,1586
16769,W. Percevaux,18,56,$1K,67,$123K,913
16770,J. Pourtau,17,56,$1K,75,$168K,851
16771,M. Berisha,19,56,$3K,73,$224K,1407
16772,K. Okanishi,26,56,$1K,59,$90K,956
16773,M. Tokida,19,56,$1K,63,$112K,1258
16774,S. Sharkey,27,56,$1K,57,$101K,1333
16775,O. O'Dwyer,19,56,$4K,69,$168K,1217
16776,M. Parada,19,56,$1K,68,$179K,1422
16777,C. McGuigan,27,56,$1K,58,$101K,1415
16778,M. Andersen,18,56,$1K,71,$202K,1526
16779,M. Andersen,18,56,$1K,71,$202K,1526
16780,D. Sauerland,20,56,$6K,66,$157K,1535
16781,G. Kelly,20,56,$1K,65,$157K,1330
16782,E. Botheim,17,56,$1K,75,$202K,1347
16783,M. Catenacci,16,56,$1K,73,$179K,1386
16784,T. Rönning,18,56,$1K,66,$112K,843
16785,H. Shiota,36,56,$1K,56,$11K,853
16786,V. Xenopoulos,19,56,$1K,71,$179K,1004
16787,A. Jerez,18,56,$1K,66,$112K,1079
16788,J. Soladio,19,56,$2K,67,$168K,1386
16789,B. Warland,20,56,$1K,65,$134K,1265
16790,K. Politz,21,56,$1K,65,$134K,1179
16791,M. Mori,19,56,$1K,69,$157K,913
16792,M. Layer,18,56,$1K,71,$168K,834
16793,L. Maloney,17,56,$2K,79,$202K,1544
16794,J. Ward,21,56,$2K,68,$179K,1350
16795,J. Pask,19,56,$6K,66,$134K,1275
16796,I. Al Shuayl,22,56,$2K,65,$134K,1571
16797,S. Howes,19,56,$2K,67,$134K,1026
16798,Y. Kato,19,56,$1K,69,$157K,856
16799,A. Kalabane,21,56,$1K,63,$146K,1493
16800,K. Matsui,31,56,$1K,56,$56K,846
16801,S. Amin,19,56,$1K,64,$146K,1454
16802,J. Neumann,19,56,$1K,66,$157K,1397
16803,E. Wearen,24,56,$1K,58,$123K,1614
16804,D. Devine,19,56,$1K,65,$146K,1524
16805,J. Sands,16,56,$1K,73,$179K,1486
16806,H. Isted,20,56,$2K,70,$179K,980
16807,R. Watson,23,56,$2K,62,$134K,1533
16808,V. Neufville,17,56,$6K,72,$179K,1433
16809,M. McInally,19,56,$1K,68,$157K,1492
16810,J. McDonagh,21,56,$1K,66,$168K,1446
16811,M. Volpe,19,56,$1K,68,$179K,1335
16812,D. Stynes,18,56,$1K,67,$157K,1478
16813,M. Daube,19,56,$1K,67,$146K,1502
16814,D. Martinović,20,56,$1K,67,$179K,1311
16815,M. Kos,20,56,$2K,66,$123K,914
16816,V. Moskvichev,17,56,$2K,71,$179K,1487
16817,L. Lacunza,19,56,$1K,73,$190K,1411
16818,R. McEvoy,26,56,$1K,56,$112K,1639
16819,M. Godinho,20,56,$1K,64,$123K,1419
16820,E. Massucco,17,56,$1K,74,$202K,1430
16821,J. Lennon,19,56,$1K,70,$213K,1538
16822,P. O'Conor,29,56,$1K,56,$101K,1619
16823,B. Bödvarsson,22,56,$1K,64,$123K,1373
16824,N. Kawaguchi,23,56,$1K,62,$112K,1305
16825,T. Elšnik,19,56,$5K,71,$213K,1490
16826,M. Melluso,19,56,$1K,71,$190K,1428
16827,L. Gamíz,17,56,$2K,76,$179K,1489
16828,T. Hornby-Forbes,21,56,$5K,67,$157K,1366
16829,I. Ivanchenko,18,56,$2K,70,$213K,1383
16830,I. Ivanchenko,18,56,$2K,70,$213K,1383
16831,R. Isomura,26,56,$1K,57,$101K,1488
16832,C. Goslin,17,56,$1K,78,$224K,1555
16833,R. Senhadji,20,56,$1K,67,$157K,1253
16834,R. González,21,56,$1K,63,$123K,1530
16835,Pol Moreno,23,56,$1K,64,$123K,1308
16836,D. Mulcahy,39,56,$1K,56,$11K,1410
16837,K. Cantwell,22,56,$1K,62,$123K,1315
16838,T. Baack,18,56,$1K,73,$190K,1265
16839,G. Maris,21,56,$3K,62,$146K,1476
16840,J. Þorsteinsson,18,56,$4K,74,$213K,1372
16841,I. Diop,17,56,$1K,74,$179K,1253
16842,R. Loft,19,56,$7K,68,$179K,1340
16843,F. Al Rashidi,20,56,$5K,65,$157K,1437
16844,A. Ávila,19,56,$2K,73,$213K,1534
16845,M. Müldür,18,56,$2K,74,$190K,1337
16846,S. Kawamata,27,56,$2K,56,$67K,889
16847,P. Mailey,29,56,$1K,56,$78K,1105
16848,C. De las Salas,19,56,$1K,73,$190K,1317
16849,N. Feely,25,56,$1K,61,$101K,961
16850,J. Henriksen,26,56,$2K,57,$101K,1618
16851,J. Ortíz,18,56,$1K,70,$190K,1246
16852,A. De Oliveira Maia,19,56,$1K,68,$179K,1321
16853,R. Al Ghamdi,23,56,$6K,63,$146K,1508
16854,N. Batalla,19,56,$1K,68,$179K,1578
16855,D. Geiger,33,56,$1K,56,$45K,1204
16856,Y. Zummack,21,56,$1K,62,$101K,928
16857,R. Scully,24,56,$1K,62,$101K,1012
16858,Marc Vito,20,56,$2K,66,$123K,806
16859,D. Foulon,18,56,$1K,69,$157K,1447
16860,C. Rojas,19,56,$1K,65,$157K,1346
16861,M. Kremer,27,56,$1K,56,$101K,1440
16862,R. Swan,21,56,$1K,62,$146K,1425
16863,H. Taylor,20,56,$2K,65,$134K,1403
16864,A. Putna,22,56,$1K,64,$112K,883
16865,N. Konstandopoulos,21,56,$1K,64,$146K,1439
16866,T. Dele-Bashiru,17,56,$8K,77,$224K,1579
16867,T. Al Khudair,29,56,$6K,56,$101K,1472
16868,Y. Koide,22,56,$1K,62,$123K,1188
16869,Alan,20,56,$2K,67,$179K,1332
16870,S. Toufiqui,20,56,$3K,66,$168K,1440
16871,A. Sosa,16,56,$1K,71,$179K,1403
16872,M. Sandoval,22,56,$1K,64,$146K,1400
16873,J. Tabinas,18,56,$1K,68,$146K,1510
16874,M. Capitani,21,56,$1K,63,$146K,1480
16875,Álvaro Gómez,20,56,$1K,67,$168K,1503
16876,C. Ogbene,20,56,$5K,68,$179K,1496
16877,O. Aragón,20,56,$1K,66,$168K,1363
16878,K. Dybowski,20,56,$1K,65,$123K,940
16879,D. Barnes,21,56,$1K,66,$123K,950
16880,R. Jurado,20,56,$3K,66,$157K,1546
16881,R. Jurado,20,56,$3K,66,$157K,1546
16882,R. Escobar,20,56,$1K,62,$146K,1371
16883,V. Demaku,17,56,$2K,77,$202K,1456
16884,N. Pejović,18,56,$1K,76,$190K,1244
16885,K. Guessoum,18,56,$1K,70,$190K,1357
16886,J. Lokilo,18,56,$4K,74,$213K,1475
16887,C. Waters,21,56,$1K,64,$123K,1403
16888,J. Mahon,17,56,$1K,76,$179K,1405
16889,M. Naji,23,56,$3K,62,$134K,1500
16890,I. González,19,56,$1K,68,$157K,1257
16891,J. Williams,17,56,$3K,78,$202K,1379
16892,L. Marson,19,56,$1K,72,$179K,870
16893,J. Brown,19,56,$1K,68,$179K,1442
16894,Spinola,21,56,$1K,63,$146K,1533
16895,S. Brodersen,20,56,$2K,67,$134K,982
16896,H. Al Watyan,20,56,$2K,69,$157K,1038
16897,J. Castillo,18,56,$1K,73,$213K,1418
16898,P. Mullin,22,56,$3K,61,$134K,1369
16899,M. Beye,21,56,$1K,62,$123K,1279
16900,D. González,21,56,$2K,63,$146K,1527
16901,H. Campbell,21,56,$1K,68,$146K,1011
16902,A. Wolniewicz,24,56,$1K,60,$112K,1395
16903,M. Hausjell,18,56,$1K,73,$213K,1360
16904,H. Acevedo,20,56,$1K,68,$146K,861
16905,M. Castaño,18,56,$1K,74,$213K,1452
16906,L. Ureta,18,56,$1K,73,$168K,1109
16907,T. Hirakawa,38,56,$2K,56,$34K,1516
16908,H. Takimoto,20,56,$1K,66,$123K,808
16909,R. Uehara,20,56,$1K,71,$224K,1339
16910,J. Ceesay,19,56,$1K,66,$157K,1453
16911,R. Frank,29,56,$1K,56,$101K,1475
16912,E. Balcombe,17,56,$2K,72,$168K,976
